id,word_cz,polarity
84,nastavitelný,1
266,kasovní,1
280,zbrusu,1
289,vánek,1
380,doplňkový,1
389,stručný,1
400,důsledně,1
530,zmírnění,1
655,hodnotící,1
799,pružnost,1
1065,integrovaný,1
1262,nehlučný,1
1270,novost,1
1314,panoramatický,1
1415,produktivně,1
1478,čtivý,1
1512,napravený,1
1516,osvěžený,1
1518,vrácení,1
1526,omladit,1
1544,vyměnitelný,1
1577,revoluční,1
1723,sportovní,1
1731,nejmodernější,1
1768,stylizovaný,1
1814,fantaskní,1
1819,machrovat,1
1895,trofej,1
1896,bezproblémový,1
1963,rozmanitost,1
2306,zapadákov,-1
2394,bigotnost,-1
2437,skvrnitý,-1
2469,trápící,-1
2492,rozbití,-1
2506,pohmožděný,-1
2508,pohmožděniny,-1
2535,šikana,-1
2555,roztřískat,-1
2635,cholerický,-1
2639,zavalitý,-1
2729,konzervativní,-1
2783,popraskaný,-1
2785,vychytrale,-1
2788,křeč,-1
2810,plížit se,-1
2851,zmačkaný,-1
2858,viník,-1
2860,piča,-1
2919,dluh,-1
3013,promáčknout,-1
3124,čurák,-1
3127,umřít,-1
3371,překroucený,-1
3462,odpadlík,-1
3599,prošlý,-1
3620,ohyzdnost,-1
3642,spadlý,-1
3821,zamrznout,-1
3857,zasraný,-1
3890,gangster,-1
3937,zrnitý,-1
4041,nenáviděný,-1
4059,opar,-1
4103,zasyčet,-1
4105,syčení,-1
4145,pověšený,-1
4180,nejasně,-1
4316,neslyšitelný,-1
4397,nerozeznatelný,-1
4447,infekce,-1
4496,neoperovatelný,-1
4595,nazlobený,-1
4650,svědící,-1
4653,zubatý,-1
4710,tepelná,-1
4804,rozvláčný,-1
4832,hrudkovitý,-1
4885,rozmačkaný,-1
5049,rozměklý,-1
5050,plesnivý,-1
5081,negativismus,-1
5087,protežování,-1
5101,hnidopišství,-1
5225,přehřát se,-1
5229,přeplacený,-1
5234,přeceněný,-1
5272,servilně,-1
5356,prase,-1
5453,značkový,1
5518,znásilnit,-1
5663,zlodějina,-1
5685,rozpadlý,-1
5706,pytel,-1
5732,šupinatý,-1
5779,poškrábat se,-1
5782,skřípavý,-1
5789,ošoupat se,-1
5847,natřásat,-1
5851,hovno,-1
5961,tavit,-1
5984,úsečně,-1
5994,snob,-1
6020,vychrlit,-1
6031,postříkat,-1
6059,pisklavý,-1
6073,pozastavit se,-1
6151,uvíznutý,-1
6183,předvolání,-1
6220,potopený,-1
6238,zpocený,-1
6240,otok,-1
6243,zduřelý,-1
6256,nametený,-1
6264,roztrhaný,-1
6295,popudlivě,-1
6311,trojice,-1
6312,tepat,-1
6431,nevábný,-1
6458,nespolupracující,-1
6586,nereagující,-1
6691,vibrace,-1
6727,vyzvracení,-1
6746,vybledlý,-1
6794,sukničkář,-1
6826,vráska,-1
6849,pokrytecké,-1
6973,potlesk,1
9452,%-(,-1
9453,%-),1
9454,(-:,1
9455,(:,1
9456,^ ^,1
9457,^-^,1
9458,^.^,1
9460,(o:,1
9462,)-:,-1
9463,):,-1
9464,)o:,-1
9466,*\o/*,1
9467,--^--@,1
9468,0:),1
9469,38*,-1
9470,8),1
9472,8-0,-1
9473,8/,-1
9474,8\,-1
9475,8c,-1
9476,:#,-1
9477,:'(,-1
9478,:'-(,-1
9479,:(,-1
9480,:),1
9481,:*(,-1
9482,":,(",-1
9483,:-&,-1
9484,:-(,-1
9486,:-),1
9488,:-*,1
9491,:-D,1
9493,:-P,1
9494,:-S,-1
9497,:-|,-1
9498,:-},1
9499,:/,-1
9501,:3,1
9502,:9,1
9503,:D,1
9504,:E,-1
9505,:F,-1
9506,:O,-1
9510,:X,1
9512,:[,-1
9513,:\,-1
9514,:],1
9515,:_(,-1
9516,:b),1
9518,:o(,-1
9519,:o),1
9520,:p,1
9521,:s,-1
9524,:,1
9525,:0,-1
9527,;^),1
9529,</3-1,-1
9530,<3,1
9532,<o<,-1
9533,=(,-1
9534,=),1
9535,=[,-1
9536,=],1
9537,>/,-1
9538,>:(,-1
9539,>:),1
9540,>:D,1
9541,>:L,-1
9542,>:O,-1
9543,>=D,1
9544,>[,-1
9545,>\,-1
9546,>o>,-1
9547,@}->--,1
9552,X(,-1
9553,X-(,-1
9559,^_^,1
9560,^o),-1
9561,x3?,1
9562,xD,1
9565,|8c,-1
9566,|D,1
9567,}:),1
9570,nepoužívaný,-1
9572,nespoutaný,-1
9586,nevázanost,-1
9588,bezstarostnost,-1
9590,(potápějící,-1
9607,abdikovat,-1
9616,zodpovědnosti,-1
9626,vybočení,-1
9664,příčící,-1
9674,ošklivit si,-1
9697,rezignovaně,-1
9744,strašlivě,-1
9750,hrozného,-1
9783,oplývat,1
9784,překypovat,1
9790,odřít,-1
9809,uprchnout,-1
9812,nepřítomnost,-1
9817,nepřítomná,-1
9820,chybějící,-1
9853,absurdno,-1
9854,absurdita,-1
9855,absurdnost,-1
9968,urážet,-1
9973,nesprávným,-1
10039,neúmyslný,-1
10040,nezaviněný,-1
10058,velebený,1
10081,rytíře,1
10098,dovednosti,1
10140,precizně,1
10153,obviňování,-1
10157,nařknout,-1
10173,bolístky,-1
10206,pousmání,1
10212,osvobozující,1
10215,zachovat se,1
10231,rozhořčeně,-1
10235,činorodý,1
10267,adaptabilní,1
10268,přizpůsobivost,1
10269,adaptabilita,1
10271,drogově,-1
10275,toxikoman,-1
10279,závislost,-1
10280,narkomanie,-1
10281,toxikomanie,-1
10296,postačující,1
10313,obdivovatel,1
10316,obdivuhodně,1
10322,obdivný,1
10323,obdivující,1
10343,hospitalizovat,-1
10347,uznávám,1
10383,zbožňovaný,1
10388,zamilovaně,1
10391,unášený,-1
10392,zmítaný,-1
10393,neupoutaný,-1
10399,zaostávající,-1
10410,nekritická,-1
10412,nekritický,-1
10413,obdiv,1
10414,pochlebování,-1
10415,podlézání,-1
10422,ředěný,-1
10423,šizený,-1
10424,ředění,-1
10425,šizení,-1
10430,pokročilý,1
10453,zvýhodnit,1
10469,dobrodružství,1
10487,dobrodružný,1
10489,konfliktní,-1
10498,protistrana,-1
10514,sdělení,1
10531,podporování,1
10541,přívětivě,1
10576,spřízněnost,1
10595,kladná,1
10624,dopřát si,1
10626,skýtat,1
10648,obávám,-1
10675,přitížení,-1
10681,agrese,-1
10694,agresor,-1
10712,mrštnost,1
10714,agitovat,-1
10715,protřepat,-1
10729,agitace,-1
10730,agitování,-1
10731,promíchání,-1
10732,protřepání,-1
10733,štváč,-1
10757,mučivě,-1
10758,trýznivě,-1
10762,předsmrtná,-1
10763,agónie,-1
10771,dohodnout se,1
10799,souhlasící,1
10849,necítit,-1
10855,bezcílný,-1
10929,přenášet,-1
10961,poplach,-1
10962,poplašné,-1
10964,alarm,-1
10965,budík,-1
10968,vyplašit,-1
10969,varovné,-1
10977,želbohu,-1
11003,zcizit,-1
11007,odcizení,-1
11009,zcizení,-1
11045,nařčení,-1
11046,nepodložené,-1
11048,alergický,-1
11067,Dovolte,1
11084,přitahovat,1
11089,svůdně,1
11104,spojenectví,1
11106,Ježíši!,1
11110,nebesích!,1
11111,všemocný,1
11112,všemohoucí,1
11140,altruista,1
11142,altruistický,1
11167,nejednoznačný,-1
11168,dvojsmyslný,-1
11171,nejednoznačnost,-1
11172,dvojsmyslnost,-1
11177,ctižádostivý,1
11179,ctižádostivě,1
11180,ambiciózně,1
11181,nevyhraněnost,-1
11185,nevyhraněný,-1
11186,neujasněný,-1
11206,záloze,-1
11207,úkrytu,-1
11215,vymoženosti,1
11217,přívětivost,1
11230,vadně,-1
11244,přátelské,1
11247,amnestie,1
11251,milostná,1
11253,aféra,-1
11272,amputovat,-1
11286,pobavení,1
11287,obveselení,1
11298,anarchismus,-1
11299,anarchista,-1
11301,anarchistický,-1
11302,anarchie,-1
11305,chudokrevný,-1
11306,anemický,-1
11309,anděl,1
11310,andělský,1
11330,naštvaně,-1
11331,rozzlobeně,-1
11334,rozhněvaný,-1
11354,animovaný,1
11357,animozita,-1
11360,nazlobit,-1
11382,otravně,-1
11383,protivně,-1
11386,anomální,-1
11387,anomálie,-1
11390,normy),-1
11394,antagonismus,-1
11398,antagonista,-1
11399,protilátka,-1
11402,antagonistický,-1
11403,znepřátelit,-1
11524,nespolečenský,-1
11525,protispolečenský,-1
11542,nesouhlasící,-1
11544,antipatie,-1
11582,zneklidněně,-1
11584,úzkostí,-1
11632,otupěle,-1
11633,netečně,-1
11639,opičit se,-1
11640,apokalypsa,-1
11643,apokalyptický,-1
11655,apoštol,1
11675,zděsit,-1
11678,konsternovaný,-1
11746,apelovat,1
11837,zatleskat,1
11865,vděk,1
11869,uznalý,1
11873,uznale,1
11903,zatčení,-1
11904,zatknutí,-1
11905,dopadení,-1
11952,výstižně,1
11953,trefně,1
11959,vhodnost,1
11973,prastarý,-1
11975,archaický,-1
11980,žhnoucí,1
11994,aristokratický,1
12001,zastávat se,-1
12004,argumentovat,-1
12006,udávat,-1
12034,argument,-1
12036,argumentace,-1
12051,rozčílit,-1
12056,záchytný,1
12067,arogantně,-1
12110,stydící,-1
12124,nakřivo,-1
12134,křivé,-1
12161,aspirace,1
12162,přídech,1
12163,aspirovaná,1
12181,atentát,-1
12183,atentátník,-1
12184,úkladný,-1
12185,vrah,-1
12236,uplatnění,1
12366,udivený,1
12379,sveden,-1
12381,scestí,-1
12386,svést,-1
12391,(po,-1
12404,prozíravě,1
12419,choromyslné,-1
12432,ukrutnost,-1
12433,atrofovat,-1
12434,zakrňovat,-1
12436,atrofie,-1
12437,zakrnění,-1
12449,přepadnout,-1
12455,přepadení,-1
12458,docílit,1
12487,atrakce,1
12488,zajímavost,1
12497,atraktivně,1
12498,přitažlivě,1
12520,odříkavý,-1
12521,asketický,-1
12523,autentický,1
12526,hodnověrný,1
12528,autoritářský,-1
12530,autoritář,-1
12533,vůdcovský,1
12535,samovládce,-1
12587,samosprávný,1
12592,hrabivost,-1
12594,hrabivý,-1
12596,nenasytně,-1
12597,hrabivě,-1
12606,averzi,-1
12616,náruživě,1
12631,vyvarování,-1
12633,anulování,-1
12658,posvátná,1
12662,úžas,1
12714,neohrabanost,-1
12715,nemotornost,-1
12716,nešikovnost,-1
12721,trapnost,-1
12722,sekera,-1
12723,sekyra,-1
12724,vyhazov,-1
12725,padák,-1
12726,zavření,-1
